G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,h
0.521102002,0.629172787,0.800802938,0.692220497,0.230017936,0.23783376,0.353596171,0.377025049,0.581382926,0.597978047,0.590549369,0.681149317,0.582479241,0.480655891,0.516670708,0.135250442,0.543515871,0.641954894,0.843514578,0.27798142,0.519829312,0.720221175,0.700039323,0.560521463,0.453964122,0.176097834,0.450215905,0.887640234,0.8919628,0.383310795,0.267164732,-0.021791102,0.225928824,-0.007398197,0.06171573,0.694686552,0.245763384,0.055093893,0.85281948,0.368155445,0.701408029,0.768514081,-0.006204917,0.060909677,0.405291771,0.643898788,0.702751712,0.110638723,0.425858497,0.55330253,0.812789939,0.60728251,0.990856281,0.988768047,0.073736021,0.816115111,0.354342599,0.733158871,0.444630681,-0.022427327,0.070993039,0.272495131,0.763120506,-0.021186831,0.782773176,0.648575764,0.723406563,0.888704683,0.75866681,0.824446941,-0.164778736,0.158039389,0.750622906,0.742657429,0.157505348,0.846852403,0.859136993,0.037268336,0.942593954,0.325931387,0.990931639,0.080244045,0.750712345,0.891746484,0.356955615,0.407034997,0.474654752,0.236906059,0.74445584,0.42676798,0.659174341,0.615238461,0.096296489,-0.177210568,0.276279207,1.144652246,0.967964372,0.519032798,0.745079845,0.240242398,50
0.448179396,0.409926466,0.869711865,0.62757732,0.14772029,0.56762662,0.193018042,0.717387956,0.269469206,0.724170879,0.595402867,0.555362792,0.422117107,0.627863162,0.426780836,0.049079554,0.555162201,0.421494594,1.036942998,0.780449084,0.526362735,0.781007929,0.882631279,0.38550538,0.470680601,0.426379298,0.327466046,0.793426299,0.147682727,0.432406271,0.33146921,0.060601602,0.221125937,-0.006584598,0.159841057,0.41654477,0.024137068,0.105406781,0.641651458,0.418036826,0.703485294,0.868295209,0.38892399,0.180271764,0.369630447,0.742594244,0.979849114,0.134450706,0.037550746,0.71570138,0.71145634,0.738491683,0.422426254,0.743296671,0.558320154,0.636821189,0.403694946,0.708386633,0.501074348,0.094783053,-8.37E-05,0.010534421,0.966275976,0.063763735,0.89018591,0.819656047,0.949667604,1.019355399,0.805097128,1.09930277,0.099295606,0.376999758,0.910147313,0.674825538,0.768877861,0.764819462,0.79269781,0.091923644,0.644996039,0.164648808,0.780465512,0.145720052,0.607734967,0.850576737,-0.106974933,0.503581583,0.334216812,0.465354436,0.840325646,0.016199394,0.642629088,0.752593636,0.123364987,-0.088094597,0.034923987,1.08679224,0.724569996,0.133619619,0.804101843,0.143699966,50
0.368668883,0.139791503,0.734233789,0.655552252,0.214234176,0.267059911,0.247125898,0.16917992,0.267117279,0.442520674,0.542596402,0.712069723,0.565223697,0.684210769,0.339325891,-0.059414939,0.589865367,0.306636092,0.744047892,0.496868677,0.606377315,0.836940979,0.749870032,0.303995407,0.202501799,0.52193148,0.243153091,0.545214243,0.837966914,0.469231326,0.47140057,-0.021232092,0.141398935,0.105460847,0.086669462,0.219364077,-0.022231159,0.523659909,0.741793364,0.668046732,0.269135211,1.066673973,0.33183651,0.048602859,0.539155725,0.561357001,0.69686097,0.098504363,0.261349998,0.296221278,0.781724616,0.39120887,0.518871576,1.081024113,0.073867435,0.93198155,0.714030431,0.639566997,0.309297345,0.213229707,-0.047560927,0.10185252,0.791122423,0.217739617,0.837087983,0.557708602,0.798107735,0.783859325,0.740222648,0.73041013,-0.061942181,0.346218622,0.78041533,0.840586837,0.042249064,0.83317407,0.905423613,0.110092453,0.789990402,0.158348307,0.725154376,-0.069983203,0.091092355,0.706758979,0.147236072,0.281474254,0.512164138,0.347877245,0.454852545,0.303455998,0.549376572,0.694926328,0.022306608,0.108784188,0.030665334,0.657354005,0.752778672,0.613047375,0.596412262,-0.034895809,50
0.374995748,-0.076577125,0.987821499,0.200453238,0.363892045,0.781877513,0.190821383,0.265335359,0.338409038,0.808269319,0.626182353,0.45127622,0.691092201,0.567986702,0.479401129,0.089153096,0.522220523,0.812440827,0.938012617,0.541022578,0.829614564,0.75886587,0.691896068,0.355712124,0.523359464,0.521063752,0.422605532,0.724837723,0.100385385,0.486549629,0.237699073,-0.054797262,0.28342426,-0.146598162,-0.017894067,0.472762056,-0.092388306,0.012725231,0.570896632,0.311333069,0.818625636,0.61557387,0.205834152,0.056832663,0.445583633,0.705654351,1.053953735,0.228742504,0.281700849,0.499862696,0.668880758,0.719999428,0.550874426,0.720443137,-0.041077122,1.031461571,0.612645544,0.561205021,0.721961155,0.086099414,0.030759693,0.273072728,0.760830866,0.180286004,0.893816278,0.883749408,0.996249287,0.739427706,0.543474571,0.763865706,0.147631758,0.243242662,0.752795858,0.565060243,0.747004689,0.811349201,0.929210583,-0.032290978,0.740888407,0.083580452,0.799918855,-0.086088067,0.044234722,0.724547169,-0.137903047,0.230025172,0.291577783,0.403192971,0.675034287,-0.073642994,0.851170321,0.784531914,0.027635311,-0.015039374,0.470690906,0.726828765,0.315146149,0.287290044,0.641629605,0.125053066,50
0.547455783,0.003576966,0.916525388,0.301352375,0.10445148,0.55025681,0.258894477,0.323051941,0.380016532,0.540672797,0.636999055,0.80188034,0.18443121,0.560554317,0.491557266,0.127028696,0.839358407,0.46391348,0.91506064,0.363418423,0.748907035,0.873387324,0.793973923,0.543928637,0.247329287,0.43412894,0.426660444,0.829376608,0.25028667,0.627686965,0.271521098,-0.031668963,0.104473986,-0.130787505,-0.023356418,0.312418537,0.260310145,-0.027213379,0.690667039,0.546647175,1.250629947,0.723164226,0.16397917,0.367079919,0.482983738,0.98336614,0.749747848,-0.011130519,0.271174106,0.438236119,0.637479993,0.641240423,0.964641278,0.821645788,-0.004291308,0.873573753,0.80398658,0.82091889,0.340319239,0.184018132,0.042998451,0.321443485,0.89573894,-0.103273335,0.599063683,0.511833061,0.898848659,0.813161074,0.80707533,0.858042952,-0.145062232,0.32473263,0.94098226,0.660261967,0.146762946,0.678604965,0.958664661,0.011743854,1.012034827,0.086643269,0.796728245,-0.009519821,0.70089072,0.965059094,-0.05173115,0.292049335,0.372819014,0.470876703,0.757616222,0.091136803,0.569158824,0.35627538,-0.03744155,-0.079274051,0.507802033,-0.100119138,0.734369712,0.438956813,0.683752124,0.457049204,50
0.378775053,0.279571867,0.696966401,0.290982236,0.277535763,0.434313593,0.139527562,0.296202544,0.524750024,0.834744397,0.566537308,0.550287097,0.640377594,0.477525579,0.637045518,-0.070916291,0.48557548,0.422949233,0.812891867,0.604393604,0.716954342,0.892329581,0.849950914,0.171888012,0.521668575,0.15476677,0.439488228,0.667645599,0.733993006,0.319347224,0.180362671,0.096633152,-0.031956325,0.437204977,0.053709203,0.294630121,0.123522274,0.027270429,0.615876267,0.376121507,0.711263685,1.273410074,0.351306566,0.044419349,0.342383999,0.798371233,0.84276233,0.08238895,0.406142548,0.468733941,0.505766691,0.571528827,0.50459021,0.949222378,0.020672325,1.23244339,0.726375962,0.572749324,0.516566677,0.079324442,0.070866323,0.3163086,0.623011484,0.125585505,0.760474632,0.487878377,0.897552372,0.617955548,0.626042112,0.591811405,0.125447105,-0.026092769,1.012284376,0.796536159,0.374001822,0.76890015,0.768951224,0.044966548,0.596952829,0.274325881,0.777391196,-0.184035337,0.306264662,0.772155774,0.164720269,0.280201824,0.077540817,0.552760657,0.565536584,-0.123317993,0.59396412,1.111557843,0.060348524,0.051552925,-0.026156514,1.028772738,0.717171305,-0.029997167,0.615576669,0.634723171,50
0.538021978,0.137808961,0.712002825,0.485829326,-0.052489811,0.213265329,0.318048203,-0.007160052,0.53457138,0.715143637,0.850364148,0.568310528,0.236789349,0.264816366,0.385673195,0.235232303,0.686265423,0.619492602,0.908897474,0.513950363,0.735744031,0.840307674,0.329639218,0.52750429,0.421795446,0.585396409,0.479427667,0.578294686,0.75574133,0.423389009,0.394600131,-0.069052005,0.172075048,0.011780223,-0.011706551,0.257281457,0.662329002,0.469014486,0.682118893,0.710703831,1.037293206,0.878098253,0.447835693,-0.048146011,0.529886775,0.645453214,1.072819671,0.151205598,0.261932035,0.301418757,0.870634398,0.761453023,0.672844006,0.68706597,-0.065851911,0.835425516,0.531279051,0.800406684,0.655831312,0.133346337,-0.121903099,0.066982048,0.957234864,0.186015535,0.512067111,0.615568328,0.735528682,0.897786547,0.657824055,0.942821242,0.208431183,0.15581679,0.426894376,0.994217499,0.485575874,0.856136698,0.995754832,0.12486106,0.806485498,0.13414327,0.764147192,-0.051145665,0.65200966,0.949744582,0.436597124,0.117664844,0.309547548,0.37115235,0.833992933,0.030040211,0.636576474,0.722818654,0.081679844,-0.022885126,-0.039785354,0.54988326,0.850136316,0.319714969,0.656772652,0.239634354,50
0.408698964,-0.103320424,0.851279404,0.336534628,0.378022624,0.410642531,0.110987264,0.411878013,0.396745429,0.823055647,0.440050211,0.538594982,0.264925681,0.468932546,0.413237252,0.042635065,0.558572671,0.424830957,0.806397656,0.385498083,0.632950729,0.263809985,0.968796437,0.080229672,0.560106924,0.326318515,0.470112887,0.877147392,0.647461795,0.348835294,0.207992186,0.220980689,0.109831215,-0.062529628,0.050039605,0.603977447,0.259333238,0.104067582,0.922601869,0.481692561,0.663362177,0.841327322,0.204150801,0.040981077,0.717151324,0.739301489,0.783402626,0.02548225,0.355800103,0.297847374,0.653673354,0.938351508,0.731838117,0.909146986,0.102500958,0.453876608,0.621067786,0.583711342,0.368436145,0.151614524,0.045754875,0.457696227,0.858063434,0.048007711,0.881308616,0.889958655,0.840803375,0.788449442,0.787182985,0.950619747,0.047403121,0.179036207,0.803742236,0.881537656,0.375123024,0.887619325,0.92230973,0.111955051,0.494129746,0.312473404,0.76282222,0.087663257,0.345909037,0.84171757,0.025220338,0.190712597,0.774670027,0.220425688,0.40789977,0.488340386,0.562923102,0.727551361,0.043795485,-0.056439206,-0.014483687,0.409811085,1.009979548,0.217337979,0.747044904,0.219196342,50
0.216821107,-0.094590205,0.940830794,0.406334655,0.180277294,0.662964325,0.105663037,0.455503333,0.317625436,0.743048095,0.576625527,0.542065558,0.612399431,0.378966835,0.666765483,0.184822285,0.506347094,0.530589244,0.52549653,0.293176722,0.683984793,1.021416694,0.767314998,0.793301221,0.47161166,0.274997636,0.375593431,0.955936832,0.3021796,0.34930008,0.316535696,-0.037946993,0.270494646,0.238845447,-0.066356129,0.47509972,0.021062862,0.160250386,0.68611792,0.58459876,0.950554419,0.305675707,0.136153859,0.227567625,0.531583783,0.6675357,0.903029057,0.177378797,0.301649845,0.627418056,0.781475104,0.628721434,0.35824117,0.488560065,0.224057928,0.73884451,0.562742403,0.656258395,0.668466538,0.370932257,0.037676147,0.144752021,0.741448162,0.302831045,0.923169285,0.584297117,0.915893129,1.000051789,0.966874214,0.755874012,0.136476354,0.112228583,0.98397617,0.998900517,0.18561228,0.699006603,0.861918788,0.203472272,1.206598324,0.236560915,0.944397755,0.090708179,0.237908704,0.590211292,0.529123491,0.299498781,0.438494289,0.136652283,0.825474631,0.225847165,0.785006075,0.240758353,-0.034804347,0.119278396,0.05420348,0.786640326,0.873641033,0.144863159,0.729995136,0.25574297,50
0.381862116,0.065953181,0.906398613,0.383298969,0.162751265,0.280640995,0.097031943,0.760532735,0.289601102,0.619086284,0.655677114,0.704096618,0.625548484,0.144634509,0.506877576,0.012711474,0.678883965,0.558110615,0.648188901,0.555903701,0.668653505,0.572538268,0.795143117,0.552303528,0.369728738,0.382590885,0.551053951,0.742355183,0.442722018,0.463316773,0.13782987,0.027054016,0.139214163,0.107255483,-0.020645451,0.606605258,0.077947175,0.113327749,0.881324431,0.480863925,1.109889018,1.000561449,0.298740146,0.153925562,0.447155084,0.794829863,0.842331868,-0.213736896,0.44748984,0.450045871,0.783967908,0.574628256,0.468980785,0.787663161,0.20354953,0.807915799,0.675247495,0.881995348,0.18903296,0.121645408,-0.066036115,0.070404542,0.878282915,-0.057426604,0.86268608,0.712022498,0.671703957,0.745397541,0.504506515,0.689343199,-0.033315425,0.280043742,0.992843452,0.882362692,0.547823178,0.979450697,0.76633918,0.056203443,0.902279994,0.13516633,0.881202221,0.214931515,0.167362868,0.898558018,0.127383918,-0.095742424,0.301187713,0.472814104,0.58309274,-0.122266104,0.732100419,0.723390789,0.182687721,0.151999937,-0.06261661,0.886293663,0.937093219,0.113292324,1.161234384,0.38767005,50
