RXRB,1,BCL6,CR595360,ETS1,KLF4,MAFB,NFATC2,NFKB1,PRDM1,RXRA,ND,ND,ND
RXRB,-1,GATA2,MCM2,MYB,NRAS,TCFL5,ND,ND,ND,ND,ND,ND,ND
SMAD3,1,FOXD1,HOXA10,HOXA13,IRF7,IRF8,KLF4,MAX,NFATC2,PPARG,PRDM1,RARA,RARG
SMAD3,1,SNAI3,STAT1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SMAD3,-1,TCFL5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SMAD4,1,ELK1,HOXA13,ID1,KLF4,MAFB,NFATC2,PPARG,PRDM1,RARA,RARG,SNAI3,SPIB
SMAD4,1,STAT3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SNAI1,1,BCL6,FLI1,FOXD1,HOXA10,HOXA9,IRF7,IRF8,JUN,KLF4,MAFB,NFATC2,PRDM1
SNAI1,1,RARA,RARG,RUNX1,STAT1,ND,ND,ND,ND,ND,ND,ND,ND
SNAI3,1,ID1,KLF4,NFATC2,PPARG,ND,ND,ND,ND,ND,ND,ND,ND
SNAI3,-1,BCL2,ETS2,SMAD3,ND,ND,ND,ND,ND,ND,ND,ND,ND
SP1,1,CR595360,EGR2,TRIM28,ND,ND,ND,ND,ND,ND,ND,ND,ND
SP1,-1,BRCA1,CEBPD,SMAD3,SOX5,STAT1,ZNF217,ND,ND,ND,ND,ND,ND
SP3,1,BCL6,BRCA1,E2F1,E2F2,ETS1,HOXA9,IRF8,JUN,MAFB,RARG,SNAI3,ND
SP3,-1,CEBPD,EGR1,MYB,SOX5,ND,ND,ND,ND,ND,ND,ND,ND
SPI1,1,BCL6,IRF7,IRF8,KLF4,PPARG,PRDM1,RARA,SMAD3,ND,ND,ND,ND
SPI1,-1,GATA2,SPIB,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SPIB,1,BCL6,E2F1,E2F2,IRF7,MXI1,NFATC2,PPARD,PRDM1,SMAD3,SNAI3,SREBF1,ND
SPIB,-1,GATA2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
STAT1,1,BCL6,CBFB,ETS1,ID1,KLF4,MAFB,MXI1,NFYC,PPARD,PPARG,PRDM1,RARA
STAT1,1,RARG,SNAI3,SP1,ZNF238,ND,ND,ND,ND,ND,ND,ND,ND
STAT1,-1,BCL2,CEBPD,DDIT3,E2F1,EGR1,SMAD3,ND,ND,ND,ND,ND,ND
STAT3,1,BCL6,CBFB,E2F2,EGR1,ETS1,FOS,FOSB,MAFB,NFATC2,RARG,ND,ND
STAT3,-1,NFYA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TCF3,1,BCL6,CEBPD,CR595360,FOS,IRF8,LMO2,MAFB,NFATC2,PPARD,PPARG,PRDM1,RARA
TCF3,1,RARG,RREB1,SMAD3,SNAI3,SPIB,ND,ND,ND,ND,ND,ND,ND
TCF3,-1,EGR1,MYEF2,NFYA,NRAS,ND,ND,ND,ND,ND,ND,ND,ND
TCFL5,1,BCL6,EGR2,KLF13,KLF4,MAFB,NFYC,STAT1,ND,ND,ND,ND,ND
TCFL5,-1,BRCA1,FOXJ3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TFPT,1,BCL6,ETS1,IRF8,MAFB,NFATC2,PPARD,PRDM1,RARA,RARG,ND,ND,ND
TFPT,-1,BRCA1,MCM2,MCM7,MYB,NFYA,NRAS,TCFL5,ND,ND,ND,ND,ND
TRIM28,1,BCL6,CR595360,ETS1,FOXD1,HOXA9,MAFB,PRDM1,RARG,RELA,SNAI3,ND,ND
TRIM28,-1,BCL2,ETS2,FOXJ3,MYB,ND,ND,ND,ND,ND,ND,ND,ND
UHRF1,1,MYEF2,PPARG,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
UHRF1,-1,ZNF217,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
VDR,1,FOS,FOXD1,KLF13,MAX,MYBL2,NFATC2,NOTCH1,PPARG,PRDM1,RARA,RARG,SNAI1
VDR,1,SNAI3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
VDR,-1,MCM7,MYB,TCFL5,ND,ND,ND,ND,ND,ND,ND,ND,ND
YY1,1,BRCA1,ETS1,MYBL2,SNAI3,ND,ND,ND,ND,ND,ND,ND,ND
