BCL6,CBFB,CEBPB,CEBPD,EGR2,ELK1,ETS1,FLI1,FOS,FOSB,HOXA10,HOXA13,IRF8,JUN,KLF10,KLF13,LMO2,MAFB,MYB,MYEF2,NFATC1,NFATC2,NFE2L1,NFYA,NFYC,PPARD,PPARG,PRDM1,RREB1,RUNX1,RXRB,SMAD3,SMAD4,SNAI1,SNAI3,SP3,SPI1,SPIB,STAT1,TCF3,TCFL5,TFPT,TRIM28,UHRF1,VDR,h
8.8323583,9.7094971,9.7623276,10.5456335,3.5107244,9.286044,5.4565494,11.2347348,12.6961202,8.1334464,9.2563247,11.1481629,11.6057133,6.6188049,7.0412985,10.5984468,13.7939047,12.0681023,13.3670533,9.7031462,6.7173029,10.0088648,11.9309683,14.268445,10.8722383,11.1236314,3.5107244,7.4299645,15.5953142,15.0216073,10.9746927,13.4277388,10.8462937,3.5107244,3.5107244,11.1779063,12.0089095,3.5107244,11.5370249,8.3304876,7.1924155,8.9969015,13.7929107,11.9386414,9.7202222,0
10.912913,9.0765771,10.6675535,12.9746474,3.9844596,3.9844596,7.7669967,12.8850287,10.729882,3.9844596,3.9844596,11.8233894,14.848673,3.9844596,12.5582722,11.56688,18.9449064,3.9844596,10.1726775,9.2031111,3.9844596,9.1651858,10.654521,15.8534963,13.1766893,12.9157279,11.304849,3.9844596,10.0471979,14.8162756,12.3242107,11.0911219,11.3150689,3.9844596,3.9844596,11.6632716,16.8770335,13.3804213,12.5762941,11.8995376,3.9844596,7.8549133,12.4516556,23.0834658,3.9844596,0
8.8361306,8.1889785,8.5550856,11.4598069,3.7483701,8.4030752,6.1011433,10.582852,8.9309646,3.7483701,11.7208757,10.0364668,13.4126113,3.7483701,11.8177349,11.7089158,18.424645,3.7483701,10.492615,10.7455925,3.7483701,15.0165448,10.4405836,19.6846966,14.6351992,10.0072713,12.3730294,9.2826533,13.9278077,17.0430131,13.6594462,8.3665884,9.8991771,3.7483701,12.6815594,14.6942782,14.0347232,12.9561342,11.6150537,15.1515199,9.6446402,8.5290726,15.1231699,14.4066054,3.7483701,0
3.9100614,8.6930931,11.308359,8.6278782,3.9100614,3.9100614,3.9100614,8.6957591,9.5289778,3.9100614,10.4591465,10.7508203,11.2789779,3.9100614,11.4242982,13.3940444,14.676933,3.9100614,9.195247,9.0950711,3.9100614,11.9126636,10.4150927,16.615526,12.7301419,10.0491397,3.9100614,3.9100614,16.9392258,12.8273225,12.6681408,3.9100614,10.4343803,8.6048503,3.9100614,11.2319913,13.2074707,13.458801,10.4339748,12.3007381,7.3933252,3.9100614,13.1530838,22.8049909,7.4948631,0
3.8244233,8.0890842,3.8244233,9.8155614,3.8244233,3.8244233,5.2945665,10.643335,10.8137049,7.3431189,10.9820031,11.1091279,14.022657,3.8244233,12.861212,11.7750509,14.3838353,3.8244233,10.9073542,10.8452201,3.8244233,9.9647372,8.9579513,18.2707669,19.0854569,10.2082797,3.8244233,9.0714775,13.0529211,16.5370018,11.0650319,7.8391224,9.3789028,3.8244233,3.8244233,13.9099823,12.7402872,3.8244233,11.3347645,9.3327374,8.8497572,3.8244233,13.3186011,12.0421224,8.3613555,0
3.8904885,10.413157,3.8904885,9.38775,3.8904885,3.8904885,3.8904885,9.7133347,11.4811062,8.8433234,10.90215,11.7197601,12.3595619,11.051118,13.4853832,12.0489633,16.9727981,3.8904885,10.6831017,11.7449472,3.8904885,9.8631116,12.0457001,17.0117599,16.5608506,10.0577523,3.8904885,11.5444569,17.6363907,19.3073654,11.4791497,3.8904885,9.5339934,3.8904885,11.3537563,15.0168829,14.6025136,11.7287037,11.9617417,16.6219954,8.4691442,3.8904885,12.8022081,12.5757261,3.8904885,0
8.8888119,10.0745503,8.1353296,12.1655908,3.5993095,9.0658399,3.5993095,11.3620271,9.7456217,3.5993095,10.8671612,10.2233851,14.3970354,6.2928574,9.0912205,13.5893051,15.1222148,3.5993095,14.982593,11.9477644,8.0227643,9.311936,12.1632063,15.59001,14.3866061,9.85968,11.7427518,9.2706655,17.7026084,16.3047525,10.9510272,3.5993095,11.3523243,7.025037,10.7397859,12.0207277,14.894277,10.9749713,12.165708,15.0657927,9.6407222,9.5189754,15.1053926,13.4544933,8.032304,0
10.8295255,9.3057548,9.7988728,9.468277,3.9145858,11.3084439,7.2013542,12.378897,11.7930432,3.9145858,11.8081473,13.5239393,11.0951954,3.9145858,8.7197735,12.1010781,21.0335547,3.9145858,12.6045483,11.6837392,3.9145858,9.415342,13.2357199,15.395846,13.6386826,9.7178563,12.9375981,7.5110905,20.2899642,17.4545141,9.067355,14.4879892,12.0119772,3.9145858,3.9145858,12.8235547,15.0002285,10.3980979,14.3268672,8.3060291,3.9145858,3.9145858,13.1445847,17.3774986,8.7681036,0
8.2946787,8.7553526,10.7535002,10.125142,3.8940077,3.8940077,3.8940077,13.5318154,11.1530721,3.8940077,9.8413748,11.5772833,13.5326109,3.8940077,7.4169963,10.7301771,19.6975046,3.8940077,10.5305542,11.5506097,3.8940077,11.78368,13.0902141,16.1238233,15.683736,11.7133053,3.8940077,10.7074848,16.4066583,16.7477413,10.7671361,10.680359,10.263432,3.8940077,3.8940077,10.931588,16.4217688,3.8940077,11.5810625,11.4843685,7.9850807,7.5018542,13.19914,14.7155005,7.5670093,0
4.06387,8.9404644,4.06387,11.8991437,4.06387,4.06387,7.2646669,13.5023609,10.8243689,4.06387,11.4680923,13.5872649,10.4334972,4.06387,10.1951851,14.1648577,19.3856808,10.0338386,9.6346172,4.06387,4.06387,10.7425352,10.5645411,16.2589241,14.9176418,14.671397,4.06387,13.3590027,19.7799727,19.1481907,11.9593554,12.2790992,12.3159839,9.9812502,4.06387,11.4788277,16.5157621,4.06387,12.3573377,4.06387,8.3064961,4.06387,12.5410369,4.06387,10.5524132,0
