SourceGENES,TargetGENES,Interaction,Edges
KLF13,MYEF2,0.158780566270238,activation
SPIB,TFPT,0.15875585528864,activation
MAFB,UHRF1,0.158666667285694,repression
NFYA,CBFB,0.158579228101981,repression
FOSB,UHRF1,0.158555595212126,repression
SMAD4,SPIB,0.158516491255172,activation
MYEF2,MYB,0.158451449643958,repression
FOSB,CEBPB,0.158306315271885,repression
SPIB,ELK1,0.157997756246921,activation
FOS,BCL6,0.157940733144476,repression
BCL6,TRIM28,0.157555267455863,repression
MAFB,SPI1,0.157270063113514,activation
UHRF1,RREB1,0.157161638215594,repression
SMAD4,NFATC2,0.156988761316172,repression
EGR2,TCF3,0.156761601720866,repression
MYB,HOXA10,0.156538319593205,activation
MAFB,BCL6,0.156250283823739,activation
KLF13,TRIM28,0.155538414435435,repression
SPI1,IRF8,0.155154354544477,activation
FLI1,IRF8,0.155055048381007,activation
NFYA,UHRF1,0.15468936606595,activation
PPARG,SMAD4,0.154366446255546,activation
FLI1,BCL6,0.153806756403616,activation
PPARG,NFE2L1,0.153496998335386,activation
VDR,TFPT,0.15336838117682,repression
MAFB,NFYC,0.153214642116232,repression
VDR,CBFB,0.1529573444809,activation
MAFB,NFE2L1,0.152528660671944,repression
MAFB,SMAD4,0.152243144690416,repression
SPI1,BCL6,0.152109341640756,activation
UHRF1,TRIM28,0.151957991743134,activation
PPARD,SNAI3,0.15132736287507,activation
TCFL5,RXRB,0.151129276804022,repression
CBFB,PPARG,0.151116148832026,activation
SNAI1,SNAI3,0.151002952639637,activation
PRDM1,UHRF1,0.150998548839678,repression
FOS,LMO2,0.150954167212017,activation
VDR,PPARD,0.150731251538615,activation
CBFB,TCFL5,0.150427870185218,activation
IRF8,HOXA13,0.150186411816994,activation
IRF8,MYB,0.1499444868739,activation
KLF13,RUNX1,0.149370250086877,repression
NFYA,SP3,0.149342089916916,activation
PPARD,CEBPD,0.149041708763916,activation
UHRF1,MYEF2,0.148782224498332,activation
PPARG,NFYC,0.14865064813037,repression
UHRF1,NFATC1,0.148496660478344,activation
BCL6,RUNX1,0.148412023256233,repression
MYEF2,UHRF1,0.148408207827397,activation
MYEF2,NFYC,0.148128504123618,activation
MYEF2,SPI1,0.147689058524793,repression
CBFB,SMAD3,0.147591477673202,repression
FOS,PPARD,0.147468514439059,repression
NFYA,CEBPB,0.147174237676947,repression
UHRF1,RUNX1,0.146990622669696,activation
KLF13,NFATC1,0.146972803542445,activation
FOSB,HOXA13,0.146748333008448,activation
BCL6,NFATC1,0.146710900314076,repression
TCFL5,TFPT,0.146570856651691,activation
EGR2,RXRB,0.146513845228776,activation
SPI1,VDR,0.146326328605023,activation
TRIM28,ETS1,0.14606164048166,repression
VDR,IRF8,0.145968661923424,repression
SPI1,RXRB,0.145611499903647,repression
FOS,SP3,0.145547155090386,activation
SPI1,ETS1,0.145527531888209,repression
FOSB,MYB,0.145495319718356,repression
VDR,HOXA13,0.144760487038579,repression
KLF13,NFYA,0.144447268119734,activation
MYB,TCFL5,0.144019263359202,activation
PRDM1,NFATC1,0.14385616302619,activation
EGR2,PPARG,0.143804497701341,repression
BCL6,NFYA,0.143794216885935,repression
SNAI1,SMAD3,0.143639838639954,repression
FOS,MYB,0.143301488092914,repression
KLF10,SNAI1,0.1432484304992,activation
IRF8,SPI1,0.142915928757032,activation
PRDM1,RREB1,0.14269400594097,repression
FOS,UHRF1,0.141886785068554,activation
FOS,CBFB,0.141653333331466,repression
PRDM1,RUNX1,0.141055313963033,activation
FOS,CEBPB,0.14071358527151,activation
UHRF1,FLI1,0.140535396348618,activation
KLF10,FOSB,0.140257463465008,activation
CBFB,TFPT,0.140233694382539,repression
NFYA,MYB,0.139909726388087,repression
TRIM28,PPARG,0.13987401054042,activation
FOSB,SPI1,0.139307711270262,activation
MAFB,STAT1,0.139241819186712,repression
MYB,RXRB,0.13835551291118,repression
PPARG,STAT1,0.138245372776192,repression
SMAD4,PRDM1,0.137911038486704,repression
VDR,UHRF1,0.13777887580347,activation
SPIB,CEBPD,0.13773221420582,activation
EGR2,HOXA10,0.137701280978416,activation
FLI1,VDR,0.137181309235582,repression
KLF10,MAFB,0.137060684125251,activation
RREB1,IRF8,0.137024167041658,activation
VDR,SPI1,0.136996992989389,activation
