Parent X. Child Weight Probability
si:ch211-161h7.4 -> ndc80 0.357711 1
nsl1 -> top2a 0.357135 1
tgfbi -> runx1 0.357073 1
aurkb -> ndc80 0.356755 1
cbsa -| lamb1b -0.356632 1
si:dkey-88e18.2 -> gpr183a 0.356116 1
gig2q -| znhit3 -0.355232 1
hook1 -> gtse1 0.353769 1
slc2a6 -> haus5 0.353597 1
chtf18 -> cenph 0.353299 1
mnd1 -> chaf1a 0.352664 1
si:ch211-113a14.18 -| chaf1b -0.352116 1
cdkn2d -> smc2 0.352013 1
ncaph2 -> si:ch211-266i6.3 0.351401 1
fli1b -> lamb1b 0.350886 1
cdkn2d -> krcp 0.350185 1
esco2 -> mis12 0.349869 1
krcp -> primpol 0.349612 1
haus5 -| prim2 -0.348657 1
amt -> top2a 0.348577 1
chaf1a -> slc29a2 0.348252 1
hook1 -> zgc:153405 0.347456 1
ddit4 -| dtymk -0.347134 1
si:busm1-266f07.2 -> ddit4 0.345427 1
adoa -> gnai2b 0.34475 1
pdcd2l -> gng12a 0.344603 1
aurkb -> dtymk 0.344452 1
gtse1 -> poln 0.342747 1
cmklr1 -> pus1 0.342741 1
hook1 -> si:ch211-113a14.18 0.342632 1
gng12a -> haus1 0.341859 1
cenph -| ponzr1 -0.340231 1
mthfd1b -> chaf1b 0.339789 1
zgc:153405 -| cenph -0.339784 1
si:ch211-113a14.28 -> zgc:136564 0.339224 1
pdcd2l -> slmapb 0.338795 1
znhit3 -> grna 0.338261 1
zgc:110224 -> rad51 0.337694 1
erg -| ube2t -0.337264 1
itga2b -| dtymk -0.337051 1
pfn1 -| dennd2da -0.336407 1
pane1 -> dsn1 0.335549 1
nsl1 -> spc25 0.335293 1
cmklr1 -> marcksl1a 0.333296 1
mad2l1 -> top2a 0.333243 1
vwf -> kif15 0.332658 1
ncapd2 -| haus1 -0.331827 1
hells -> mad2l1 0.33172 1
tat -| cenpk -0.331058 1
ms4a17a.10 -> nsl1 0.33089 1
nsl1 -> pbk 0.330789 1
zgc:110340 -> cdc6 0.330177 1
cdkn2d -> slc29a2 0.32876 1
zgc:110224 -> dtymk 0.328444 1
si:dkey-204f11.64 -> si:dkey-22a1.3 0.32816 1
chaf1a -> chaf1a 0.327516 1
tgfbi -> poln 0.327305 1
si:dkey-261m9.17 -> n6amt2 0.327287 1
si:ch211-266i6.3 -> cdc6 0.327102 1
LOC100148591 -> kcnf1a 0.325719 1
gig2q -| cenpn -0.325278 1
larp4ab -| arhgdig -0.32449 1
smc2 -> mrps35 0.324154 1
si:dkey-185e18.7 -> zgc:173552 0.323643 1
erg -| si:ch211-113a14.18 -0.322823 1
cox8b -> grn1 0.322736 1
pfn1 -| zgc:158446 -0.321367 1
vrk2 -| chtf18 -0.321292 1
primpol -> ncaph2 0.321242 1
pbk -> slc29a2 0.321166 1
csf3r -> si:dkey-195m11.11 0.321131 1
gig2q -| ndc80 -0.320596 1
nsl1 -> si:dkey-261m9.17 0.320109 1
n6amt2 -> ncaph 0.319878 1
zgc:153405 -| chtf8 -0.319799 1
