SourceGENES,TargetGENES,Interaction,Edges
IRF8,ETS1,0.0974779800377136,repression
NFATC1,SPIB,0.0974261722614661,repression
MYEF2,SNAI3,0.0974163614370421,repression
EGR2,NFATC2,0.0974086377757038,repression
UHRF1,FOSB,0.0968311113642675,repression
EGR2,SMAD4,0.0964316770562341,activation
SPI1,NFATC2,0.0962399224905612,activation
SPIB,NFATC2,0.0958382078532289,activation
PPARD,SMAD3,0.0953435707154998,activation
SPI1,SMAD4,0.0952042608083721,repression
SPIB,SMAD4,0.0951014760591141,repression
FOSB,SPIB,0.0946683607227752,activation
EGR2,HOXA10,0.0944803616240566,repression
SPI1,HOXA10,0.0944307102058381,activation
UHRF1,MYEF2,0.0942126430507211,activation
LMO2,KLF13,0.0936255699380473,activation
SPIB,HOXA10,0.0936117116845264,activation
STAT1,SPIB,0.0930909174041531,repression
UHRF1,NFE2L1,0.0916915716461088,activation
ETS1,JUN,0.0914164706535836,activation
KLF10,EGR2,0.0913480941206053,activation
MYEF2,PPARD,0.0913193080910864,repression
STAT1,ETS1,0.0907032832725381,activation
PPARG,KLF10,0.0905796300737235,activation
SPI1,RXRB,0.090508834716668,activation
EGR2,RXRB,0.0902931874366447,activation
PRDM1,LMO2,0.0902733233468248,activation
PPARD,PRDM1,0.0898032760179497,activation
NFATC1,ETS1,0.0898026821029672,repression
SPIB,RXRB,0.0896885113668539,activation
RXRB,SNAI3,0.0892850983037205,activation
FOSB,ETS1,0.0892542139650188,activation
PPARD,VDR,0.0890900992338196,activation
MYEF2,FOSB,0.0881731568009308,activation
UHRF1,CEBPB,0.0867380426496716,activation
MYEF2,NFE2L1,0.0863257134962713,activation
MAFB,EGR2,0.0861705772035553,activation
EGR2,MAFB,0.0858865015488782,activation
SPI1,MAFB,0.0853578250733183,activation
SPIB,MAFB,0.0845109755222601,repression
MYEF2,MYEF2,0.0843042702492467,activation
PRDM1,KLF10,0.0842771528869585,repression
EGR2,STAT1,0.0842390356730217,activation
UHRF1,SMAD3,0.0841725266395713,repression
EGR2,TCFL5,0.0840612505483628,repression
CBFB,ELK1,0.0839291309505365,activation
EGR2,MYB,0.0838513730631077,activation
MYEF2,PPARG,0.0836332408412498,repression
SPI1,STAT1,0.0833693720460965,activation
SPIB,STAT1,0.0832260077979926,repression
ETS1,ETS1,0.0832210119382064,activation
MYEF2,BCL6,0.0830471427219488,repression
SPI1,TCFL5,0.0829107276268036,repression
SPIB,TCFL5,0.0828868590656079,repression
SPI1,MYB,0.0827882526075676,activation
SPIB,MYB,0.0823595947631206,repression
EGR2,HOXA13,0.0822978478995043,repression
EGR2,TRIM28,0.0822737041419816,activation
CEBPD,KLF13,0.0819230112676521,activation
EGR2,SP3,0.0816114257232168,repression
SPI1,HOXA13,0.0814769657955631,repression
SPI1,TRIM28,0.081347654861256,activation
SPIB,HOXA13,0.0811587443864757,activation
SPI1,SP3,0.0811026704951129,activation
SPIB,TRIM28,0.0810567938837848,activation
SPIB,SP3,0.0808973476492124,activation
ETS1,SPIB,0.0802748186555841,activation
MYEF2,CEBPB,0.0799820053310217,activation
PPARD,TFPT,0.0798548634271808,activation
FOS,FOS,0.079373785117517,activation
CBFB,JUN,0.0792265194731562,activation
RXRB,PPARD,0.0790224503408401,activation
EGR2,SPI1,0.0789782299537486,activation
MYEF2,SMAD3,0.0787123157042173,repression
RXRB,NFE2L1,0.0786342554927702,activation
SPI1,SPI1,0.0785992565920035,activation
UHRF1,PRDM1,0.0785128784729062,repression
EGR2,NFYA,0.0784773945376684,repression
RXRB,FOSB,0.0783428220783827,activation
UHRF1,VDR,0.0781534854535754,activation
SPI1,NFYA,0.0780731193315912,activation
SPIB,SPI1,0.0779277637065972,activation
SPIB,NFYA,0.0776287917550413,repression
LMO2,SNAI3,0.0772516933433973,activation
PPARD,UHRF1,0.0771777595925939,activation
ETS1,ELK1,0.0766954460229466,repression
IRF8,ELK1,0.0758631532918479,activation
RXRB,MYEF2,0.0745723880362695,activation
EGR2,FLI1,0.0742388489708402,repression
EGR2,TCF3,0.0741639465303439,repression
FOS,NFATC1,0.0739322213025611,repression
EGR2,RUNX1,0.0738190160565703,repression
SPI1,FLI1,0.0737507809871048,activation
SPI1,TCF3,0.0737044179551752,activation
PPARD,CBFB,0.0736860990503398,activation
SPIB,TCF3,0.0734935524646015,repression
PPARG,EGR2,0.0732204943406633,repression
SPIB,FLI1,0.0731667781479104,activation
SPI1,NFYC,0.0731478448278985,repression
EGR2,NFYC,0.0731469032479654,activation
FOSB,ELK1,0.0730385635038442,repression
SPIB,RUNX1,0.0727853145460635,activation
UHRF1,TFPT,0.0727760047629858,repression
SPI1,RUNX1,0.0726873211018535,activation
SPIB,NFYC,0.0726858713073938,repression
MYEF2,VDR,0.0721892855889878,repression
EGR2,CEBPD,0.0721023053767689,repression
RXRB,CEBPB,0.0720905132477699,activation
FOSB,JUN,0.0720705572566924,repression
STAT1,ELK1,0.0719274240852977,activation
RXRB,SMAD3,0.0719157291098309,activation
MYEF2,TFPT,0.0718439828517988,activation
LMO2,PPARD,0.0717310180723987,activation
SPI1,CEBPD,0.0717240712519469,activation
IRF8,JUN,0.0716601449142974,repression
PPARD,SNAI1,0.071658881566214,activation
CBFB,KLF13,0.0714476060054276,repression
SPIB,CEBPD,0.0710545081692294,activation
NFATC1,ELK1,0.0697620281494715,activation
RXRB,PPARG,0.0695733732496527,activation
LMO2,FOSB,0.0692907100257131,activation
PPARD,IRF8,0.0685610604607555,repression
STAT1,JUN,0.0685193683781235,repression
LMO2,NFE2L1,0.0681078612637134,activation
UHRF1,UHRF1,0.0679700423023811,activation
NFYC,FOS,0.0677115408390617,repression
