SourceGENES,TargetGENES,Interaction,Edges
PPARD,NFATC1,0.449150106483179,repression
BCL6,RUNX1,0.447539664430026,repression
KLF10,NFATC2,0.446985531344799,repression
PPARG,VDR,0.44602986510839,repression
PPARG,NFATC1,0.445650421086853,repression
FOSB,SMAD3,0.444894226402465,repression
MAFB,SMAD3,0.444494771996947,repression
MYEF2,NFYA,0.443212325087473,repression
BCL6,SP3,0.441321172243415,repression
PPARD,PPARD,0.441277256012435,activation
VDR,CEBPB,0.440987848041284,repression
MAFB,RREB1,0.440074361530695,repression
BCL6,NFATC2,0.43744219987644,repression
UHRF1,PRDM1,0.434603521716256,repression
KLF13,FLI1,0.43432073919123,activation
FOSB,UHRF1,0.433466559089197,repression
MYEF2,NFE2L1,0.432554206480849,repression
PRDM1,VDR,0.43063109364744,repression
MAFB,PPARD,0.43040786409695,repression
SPIB,ELK1,0.430236443777044,repression
PRDM1,SMAD3,0.430058453416308,repression
IRF8,SPIB,0.429864034404769,repression
NFYA,SPIB,0.428812747267455,repression
NFYA,NFE2L1,0.427629375869813,repression
FOSB,NFATC1,0.427618964241503,activation
KLF13,PPARD,0.426180403345075,repression
IRF8,NFE2L1,0.425928445823375,repression
SPIB,NFYA,0.424801161587249,repression
FOSB,RREB1,0.423901654643598,repression
ETS1,ELK1,0.423812912382601,repression
KLF13,CBFB,0.423770425628404,repression
PRDM1,JUN,0.420713392254388,activation
PPARD,SPI1,0.419613440598596,activation
UHRF1,PPARG,0.417994825114152,repression
KLF10,CEBPD,0.417667731029605,repression
MAFB,JUN,0.41747301957988,repression
VDR,SPIB,0.416947126227977,repression
KLF13,NFYC,0.415938467812666,repression
FOS,MYEF2,0.414240837484198,repression
RXRB,ETS1,0.41392232299154,repression
UHRF1,KLF13,0.413286008425597,repression
MAFB,NFATC1,0.412963591663758,repression
KLF13,SPI1,0.412807179922101,repression
MAFB,SPI1,0.412215418742725,repression
FOSB,VDR,0.41146251575805,repression
PPARG,SP3,0.410180030440221,repression
BCL6,CEBPD,0.409676235729256,repression
PRDM1,NFATC1,0.409252553789982,repression
PRDM1,RREB1,0.408614500530099,repression
PPARG,NFYC,0.408257149524964,repression
RXRB,MYEF2,0.407654534941075,repression
PPARD,FLI1,0.407518180776136,activation
SPIB,CEBPB,0.405071820805683,repression
SPI1,UHRF1,0.403396216503251,repression
KLF13,RXRB,0.402914265377813,repression
PPARG,RUNX1,0.40257830304714,repression
KLF13,RUNX1,0.40220457767498,repression
PPARG,FLI1,0.401453421653626,repression
UHRF1,TFPT,0.40006767161719,repression
UHRF1,JUN,0.397834467423802,repression
FOSB,SP3,0.397645610946324,repression
PPARG,RXRB,0.397431251437293,repression
VDR,NFE2L1,0.397381638209502,repression
PPARG,SPI1,0.396242922445053,repression
KLF13,NFATC2,0.396138836640482,repression
SPI1,TFPT,0.395101817287558,repression
ETS1,NFYA,0.392573101833556,repression
KLF10,TCF3,0.390869309858427,repression
ETS1,CEBPB,0.390753974450342,repression
SPI1,JUN,0.390697688198654,repression
PPARG,NFATC2,0.390453277163667,repression
KLF10,STAT1,0.38993375147603,activation
MAFB,FLI1,0.388254493059289,repression
ELK1,SNAI3,0.387903675864522,repression
KLF10,TCFL5,0.387894312588379,activation
PPARD,CBFB,0.385588297884364,activation
FOS,SNAI3,0.383987648855286,repression
BCL6,TCF3,0.383583190432483,repression
KLF13,IRF8,0.38328037105596,repression
FOS,ETS1,0.382514546487724,repression
BCL6,STAT1,0.382009357882102,repression
SPIB,NFE2L1,0.381014301541199,repression
SPI1,SMAD3,0.38090512535812,repression
BCL6,TCFL5,0.380531035370255,repression
PRDM1,PPARD,0.380013001645955,repression
SPI1,RREB1,0.379284200539344,repression
PPARG,PPARD,0.379032179403959,repression
UHRF1,UHRF1,0.378844510697241,activation
UHRF1,SMAD3,0.378752823684794,repression
PPARD,RXRB,0.378377777734343,repression
KLF10,SNAI1,0.376852185086972,repression
PPARD,IRF8,0.37529972017591,repression
PPARD,NFYC,0.374474823669794,activation
ETS1,KLF13,0.374249078129747,repression
KLF10,HOXA10,0.373766246852401,repression
EGR2,SNAI3,0.373519608295909,repression
BCL6,SNAI1,0.370315024238995,repression
UHRF1,RREB1,0.370036220346464,repression
EGR2,MYEF2,0.368678956107391,repression
FOSB,FLI1,0.367732342063986,repression
KLF10,SMAD4,0.367732013447771,repression
FOSB,BCL6,0.367261505534438,repression
FOSB,NFYC,0.366916855884728,repression
PPARD,SP3,0.366335147607437,repression
SPI1,VDR,0.365207160394991,repression
MAFB,RXRB,0.364946998355602,repression
UHRF1,NFATC1,0.364654279796362,repression
BCL6,HOXA10,0.363857207749936,repression
KLF10,FOSB,0.363556628008858,activation
MAFB,IRF8,0.362585600233085,repression
PRDM1,SPI1,0.362218284962414,activation
BCL6,SMAD4,0.361883396869151,activation
PRDM1,FLI1,0.361729044246749,repression
CBFB,MYEF2,0.361448541515235,activation
ETS1,NFE2L1,0.361328266644473,activation
PPARD,RUNX1,0.360885467772392,repression
KLF13,CEBPD,0.360263381918103,repression
MYEF2,SPIB,0.358989157490508,repression
KLF10,FOS,0.358383069989666,repression
KLF10,LMO2,0.357740289989541,repression
SPI1,NFATC1,0.357672695454837,repression
FOSB,RUNX1,0.356142601044142,repression
MAFB,NFYC,0.355931163814424,repression
BCL6,FOSB,0.355795956734233,repression
KLF10,MAFB,0.355565236214957,repression
UHRF1,VDR,0.355426803090577,repression
IRF8,UHRF1,0.354479707876561,repression
MAFB,CBFB,0.354438063396775,activation
EGR2,ETS1,0.353968375951396,repression
KLF10,TRIM28,0.353864242169519,activation
FOSB,RXRB,0.35355437875653,repression
PPARD,NFATC2,0.353132249989333,repression
NFYA,UHRF1,0.35173091494468,repression
BCL6,FOS,0.351626436264352,repression
FOSB,SPI1,0.350952545907408,repression
FOSB,NFATC2,0.349799045779936,repression
BCL6,MAFB,0.349526049772701,repression
PPARG,IRF8,0.34934421049558,repression
BCL6,LMO2,0.349305993990829,repression
FLI1,MYEF2,0.34906262569414,repression
PRDM1,CBFB,0.347806398860087,repression
FOSB,PPARD,0.347591772852619,repression
BCL6,TRIM28,0.347446097765715,repression
KLF13,TCFL5,0.34683985770977,repression
PPARG,CEBPD,0.346829719380559,repression
VDR,UHRF1,0.346712294921484,repression
MAFB,RUNX1,0.346710370767507,repression
PPARG,BCL6,0.346225514796505,repression
PRDM1,SP3,0.346211986932008,repression
MYEF2,PRDM1,0.345945961892537,repression
KLF13,TCF3,0.345486293785458,repression
SPIB,KLF13,0.343489548100263,repression
KLF13,STAT1,0.342541490135927,repression
KLF13,SMAD4,0.341428120461179,activation
PPARG,CBFB,0.339172062310051,repression
SPIB,PRDM1,0.337694598257483,repression
ETS1,PRDM1,0.337353595662191,repression
PPARG,STAT1,0.337212267657457,repression
SPIB,SPIB,0.336650862971686,activation
FOSB,CBFB,0.336313348842487,activation
UHRF1,SP3,0.336292409109873,repression
MAFB,NFATC2,0.336035652862541,repression
PRDM1,NFYC,0.335941559254506,activation
KLF13,SNAI1,0.335770850584327,repression
PRDM1,RXRB,0.33468446245515,activation
CBFB,ETS1,0.334148984242663,repression
PPARG,TCFL5,0.331369018295208,repression
FLI1,ETS1,0.329666184900953,activation
PPARD,CEBPD,0.329657013724109,activation
FLI1,SNAI3,0.328800920508717,repression
PRDM1,IRF8,0.328556339582708,repression
ETS1,SPIB,0.328527699243788,repression
PPARG,TCF3,0.328416436353641,repression
SPI1,NFYC,0.327209571368498,repression
PPARG,HOXA10,0.326285694492322,repression
MYEF2,KLF13,0.325662605571024,repression
KLF13,TRIM28,0.325529153956825,repression
MAFB,SP3,0.325161304595415,repression
SPI1,RUNX1,0.324620667678508,activation
SPI1,FLI1,0.324399975682857,repression
KLF13,HOXA10,0.324310575832423,activation
UHRF1,NFYC,0.324232889033885,repression
MYEF2,TFPT,0.323789512940056,repression
PRDM1,RUNX1,0.323722288228475,activation
SPI1,SPI1,0.323377616255418,activation
SPI1,SP3,0.322114345021768,activation
IRF8,TFPT,0.321927442072355,repression
SPI1,RXRB,0.319912484396819,repression
SPIB,PPARG,0.319829284143046,repression
KLF10,HOXA13,0.31966943252107,repression
FOSB,IRF8,0.31850349027988,repression
UHRF1,FLI1,0.318378972059495,repression
PRDM1,NFATC2,0.317803994620363,repression
MYEF2,PPARG,0.31705064712518,repression
PPARG,SNAI1,0.316547112309717,repression
UHRF1,RUNX1,0.316024147714218,repression
KLF13,LMO2,0.31564355673875,repression
IRF8,VDR,0.315464007914152,repression
FOSB,CEBPD,0.313764267920656,repression
SPI1,NFATC2,0.313211178551861,repression
BCL6,HOXA13,0.312997889117345,repression
MAFB,CEBPD,0.312804221113407,repression
PPARG,SMAD4,0.312752811549447,activation
PPARG,LMO2,0.312585501068533,repression
UHRF1,RXRB,0.312482506616677,repression
MYEF2,JUN,0.312462520107347,repression
NFYA,TFPT,0.311019156291496,repression
PPARD,TCF3,0.309950263692776,repression
SPI1,PPARD,0.309569654079756,activation
UHRF1,SPI1,0.30926124762967,repression
